name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
C12I_1260,C12I,1260.73502,0.0507,240000000.0,,,C12I,M03g-9u end Haris/K
C12I**_1194,C12I**,1194.61460,0.00227,17700000.0,12.0,,C12I**,M03g Aki C12=C from here
C12I**_1194,C12I**,1194.48850,0.00203,6770000.0,12.0,,C12I**,M03-10u Aki
C12I*_1194,C12I*,1194.40550,0.00314,44000000.0,,,C12I*,M03g Aki
C12I*_1194,C12I*,1194.30100,0.00905,4100000.0,,,C12I*,M03-10u Aki
C12I*_1194,C12I*,1194.22950,0.00178,8330000.0,,,C12I*,M03g Aki
C12I**_1194,C12I**,1194.06340,0.00636,29800000.0,12.0,,C12I**,M03g Aki
C12I_1193,C12I,1193.99540,0.0124,19400000.0,,,C12I,M03-9.02 Aki
C12I*_1193,C12I*,1193.67860,0.00905,25400000.0,,,C12I*,M03g Aki
C12I**_1193,C12I**,1193.64830,0.000288,2250000.0,12.0,,C12I**,M03g Aki
C12I**_1193,C12I**,1193.39280,0.00738,34600000.0,12.0,,C12I**,M03g Aki
C12I*_1193,C12I*,1193.26370,0.00913,42900000.0,,,C12I*,M03g Aki
C12I**_1193,C12I**,1193.24010,0.0332,111000000.0,12.0,,C12I**,M03g Aki
C12I_1193,C12I,1193.03000,0.0409,63900000.0,,,C12I,M03-11u Aki
C12I*_1193,C12I*,1193.00850,0.0281,79000000.0,,,C12I*,M03g Aki
C12I*_1192,C12I*,1192.44920,0.00162,7600000.0,,,C12I*,M03
C12I_1192,C12I,1192.21580,0.00137,2150000.0,,,C12I,M03-12u Aki
C12I**_1189,C12I**,1189.63070,0.0112,52700000.0,12.0,,C12I**,M03g Aki
C12I**_1189,C12I**,1189.44680,0.00376,29600000.0,12.0,,C12I**,M03g Aki
C12I*_1189,C12I*,1189.24880,0.00385,10900000.0,,,C12I*,M03g Aki
C12I*_1189,C12I*,1189.06500,0.00426,20100000.0,,,C12I*,M03g Aki
C12I*_1188,C12I*,1188.99280,0.00507,71700000.0,,,C12I*,M03g Aki
C12I_1188,C12I,1188.83290,0.0124,19500000.0,,,C12I,M03-14u Aki
C12I**_1158,C12I**,1158.90680,0.00101,8360000.0,12.0,,C12I**,M03 Aki
C12I*_1158,C12I*,1158.67440,0.00147,21900000.0,,,C12I*,M03 Aki
C12I*_1158,C12I*,1158.54430,0.000675,3350000.0,,,C12I*,M03 Aki
C12I**_1158,C12I**,1158.39710,0.00165,8190000.0,12.0,,C12I**,M03 Aki
C12I_1158,C12I,1158.32400,0.00655,10900000.0,,,C12I,M03-15.01 Aki
C12I**_1158,C12I**,1158.13170,0.00519,25800000.0,12.0,,C12I**,M03
C12I*_1158,C12I*,1158.12990,0.00397,19700000.0,,,C12I*,M03
C12I**_1158,C12I**,1158.01880,0.0157,55600000.0,12.0,,C12I**,M03
C12I_1157,C12I,1157.90970,0.0212,35100000.0,,,C12I,M03-16u
C12I*_1156,C12I*,1156.76970,0.00878,26200000.0,,,C12I*,M03
C12I**_1156,C12I**,1156.56030,0.00539,26900000.0,12.0,,C12I**,M03
C12I**_1156,C12I**,1156.38950,0.00181,15100000.0,12.0,,C12I**,M03
C12I*_1156,C12I*,1156.19920,0.000799,2390000.0,,,C12I*,M03
C12I*_1156,C12I*,1156.02860,0.00227,11300000.0,,,C12I*,M03
C12I*_1155,C12I*,1155.97930,0.0025,37400000.0,,,C12I*,M03
C12I_1155,C12I,1155.80920,0.00492,8190000.0,,,C12I,M03-19u
